,county_name,cty_pop_under_18,cty_pop_over_65,cty_female,cty_foreign_born,cty_owner_occupied,cty_housing_unit_median_value,cty_pers_pers_household,cty_same_house,cty_non_english,cty_with_computer,cty_with_internet,cty_hs_graduates,cty_uni_degree,cty_time_to_work,cty_med_household_income,cty_poverty,cty_pop_density
0,QUEENS,0.2,0.163,0.515,0.469,0.451,575600,2.86,0.92,0.552,0.9179999999999999,0.856,0.826,0.335,44.2,72028,0.10300000000000001,22164.046807334376
1,STEUBEN,0.213,0.201,0.502,0.035,0.73,104200,2.35,0.894,0.055,0.887,0.8240000000000001,0.912,0.24600000000000002,22.0,55349,0.121,67.29950523530088
2,RICHMOND,0.218,0.16699999999999998,0.514,0.239,0.688,546100,2.81,0.937,0.335,0.9129999999999999,0.8420000000000001,0.885,0.34700000000000003,44.6,85381,0.106,8493.181428816173
3,ONONDAGA,0.21100000000000002,0.175,0.518,0.078,0.6509999999999999,148100,2.36,0.8590000000000001,0.109,0.898,0.825,0.912,0.361,20.0,62668,0.128,612.1815542337389
4,ALLEGANY,0.201,0.196,0.49200000000000005,0.021,0.7909999999999999,78400,2.3,0.8859999999999999,0.046,0.867,0.785,0.917,0.22899999999999998,22.2,51227,0.151,45.13314744829061
5,CATTARAUGUS,0.21899999999999997,0.19699999999999998,0.503,0.018000000000000002,0.722,90200,2.32,0.899,0.042,0.848,0.757,0.897,0.19899999999999998,22.1,50700,0.163,58.88485497000038
6,HERKIMER,0.204,0.212,0.504,0.025,0.743,106600,2.41,0.897,0.06,0.878,0.833,0.9059999999999999,0.21100000000000002,23.6,58438,0.121,42.60735261819238
7,ESSEX,0.16,0.243,0.483,0.04,0.764,160400,2.14,0.863,0.062,0.895,0.813,0.905,0.298,23.6,58109,0.102,20.83400678842735
8,ONTARIO,0.19899999999999998,0.20600000000000002,0.511,0.037000000000000005,0.727,163100,2.32,0.871,0.059000000000000004,0.9159999999999999,0.867,0.932,0.358,23.4,64795,0.08800000000000001,174.60524477153103
9,SAINT LAWRENCE,0.201,0.18,0.49,0.037000000000000005,0.725,97000,2.31,0.873,0.07400000000000001,0.8759999999999999,0.818,0.8859999999999999,0.23600000000000002,20.9,52071,0.147,40.48120042680515
10,ULSTER,0.174,0.204,0.504,0.077,0.6859999999999999,239400,2.38,0.894,0.107,0.927,0.885,0.912,0.332,28.4,65306,0.127,161.75460755710523
11,JEFFERSON,0.24,0.142,0.475,0.043,0.557,150100,2.44,0.8059999999999999,0.085,0.917,0.862,0.91,0.225,18.8,54726,0.131,92.00845032674071
12,GREENE,0.162,0.22699999999999998,0.479,0.057999999999999996,0.7659999999999999,185600,2.49,0.9420000000000001,0.075,0.855,0.738,0.873,0.239,28.7,56681,0.11199999999999999,74.06360096421287
13,NEW YORK,0.14300000000000002,0.17,0.526,0.28300000000000003,0.24100000000000002,1024500,2.07,0.845,0.38799999999999996,0.9229999999999999,0.872,0.878,0.622,32.1,89812,0.163,74211.60753394656
14,RENSSELAER,0.193,0.175,0.506,0.053,0.629,197100,2.34,0.86,0.076,0.9209999999999999,0.867,0.925,0.33899999999999997,24.3,72510,0.10400000000000001,246.96902349677362
15,YATES,0.22,0.213,0.513,0.017,0.765,142300,2.67,0.935,0.13699999999999998,0.785,0.746,0.865,0.245,21.7,55307,0.129,73.26551132666943
16,NASSAU,0.214,0.182,0.512,0.22399999999999998,0.8109999999999999,524400,2.97,0.9309999999999999,0.28800000000000003,0.9420000000000001,0.91,0.9159999999999999,0.467,36.6,120036,0.057,4902.2688957572345
17,CHEMUNG,0.212,0.195,0.505,0.032,0.672,108900,2.32,0.892,0.045,0.9059999999999999,0.821,0.899,0.23600000000000002,19.5,54883,0.145,206.5741990916902
18,ALBANY,0.183,0.174,0.516,0.11599999999999999,0.561,230300,2.25,0.847,0.138,0.9209999999999999,0.8590000000000001,0.924,0.436,20.8,68327,0.113,602.2341239479725
19,WAYNE,0.212,0.195,0.503,0.027999999999999997,0.7809999999999999,130000,2.37,0.893,0.053,0.9059999999999999,0.845,0.899,0.237,24.5,62003,0.09699999999999999,151.17334349071757
20,ONEIDA,0.213,0.192,0.502,0.081,0.687,133100,2.39,0.884,0.128,0.893,0.8420000000000001,0.89,0.266,19.9,59113,0.124,191.454352003827
21,ROCKLAND,0.284,0.159,0.509,0.212,0.679,452500,3.15,0.9079999999999999,0.414,0.895,0.846,0.885,0.419,31.6,94840,0.14400000000000002,1949.4612503601265
22,WESTCHESTER,0.217,0.174,0.515,0.254,0.614,544100,2.67,0.903,0.337,0.9309999999999999,0.884,0.8859999999999999,0.49700000000000005,35.3,99489,0.076,2333.2334494773518
23,BRONX,0.24600000000000002,0.133,0.528,0.34600000000000003,0.201,427900,2.71,0.914,0.584,0.895,0.8,0.7340000000000001,0.203,45.3,41895,0.244,34979.90498812351
24,OSWEGO,0.209,0.168,0.499,0.019,0.728,109500,2.42,0.858,0.037000000000000005,0.917,0.87,0.8909999999999999,0.201,24.8,59070,0.142,123.49603320548522
25,SCHENECTADY,0.21600000000000003,0.17300000000000001,0.512,0.1,0.64,172500,2.62,0.885,0.087,0.925,0.861,0.909,0.321,23.0,66488,0.109,772.8388421670252
26,CHENANGO,0.20600000000000002,0.209,0.499,0.017,0.748,102300,2.25,0.875,0.033,0.889,0.82,0.885,0.19,24.4,51756,0.115,52.845391975826765
27,MONROE,0.20600000000000002,0.179,0.518,0.085,0.633,152000,2.35,0.853,0.138,0.9129999999999999,0.862,0.9079999999999999,0.392,20.3,62087,0.139,1155.5560627501102
28,BROOME,0.193,0.19399999999999998,0.507,0.071,0.6509999999999999,120200,2.29,0.847,0.092,0.893,0.84,0.903,0.28800000000000003,19.2,52237,0.184,281.51239072218993
29,WARREN,0.18100000000000002,0.22899999999999998,0.509,0.037000000000000005,0.7070000000000001,208600,2.18,0.868,0.040999999999999995,0.894,0.8440000000000001,0.9209999999999999,0.32299999999999995,22.4,64658,0.08900000000000001,75.82559547840128
30,MONTGOMERY,0.22899999999999998,0.18899999999999997,0.507,0.033,0.675,110700,2.46,0.879,0.138,0.855,0.787,0.878,0.187,24.5,50146,0.11900000000000001,122.89599047240968
31,CHAUTAUQUA,0.20199999999999999,0.207,0.507,0.025,0.6859999999999999,92900,2.28,0.883,0.08,0.8640000000000001,0.7959999999999999,0.894,0.231,18.5,48315,0.14800000000000002,120.40500646086227
32,SCHUYLER,0.18600000000000003,0.22,0.502,0.018000000000000002,0.748,127000,2.38,0.932,0.033,0.898,0.812,0.9109999999999999,0.23199999999999998,27.9,53291,0.11800000000000001,54.51222855054366
33,CORTLAND,0.192,0.16899999999999998,0.511,0.025,0.662,126700,2.46,0.838,0.043,0.903,0.787,0.907,0.26899999999999996,21.3,59194,0.11699999999999999,93.85074985965194
34,SARATOGA,0.19699999999999998,0.188,0.506,0.057999999999999996,0.721,266000,2.35,0.8809999999999999,0.068,0.9359999999999999,0.9,0.937,0.42,25.3,85224,0.063,290.75903108718734
35,GENESEE,0.203,0.193,0.502,0.024,0.7240000000000001,125200,2.35,0.9059999999999999,0.036000000000000004,0.887,0.8270000000000001,0.922,0.21899999999999997,23.3,60635,0.102,118.44849271716639
36,WASHINGTON,0.18600000000000003,0.201,0.483,0.024,0.727,151500,2.41,0.8740000000000001,0.05,0.895,0.8170000000000001,0.88,0.20199999999999999,26.3,59613,0.11199999999999999,73.75297769436223
37,FRANKLIN,0.192,0.174,0.449,0.03,0.721,110600,2.37,0.846,0.08,0.8590000000000001,0.7879999999999999,0.877,0.207,20.1,52905,0.159,29.190605971321943
38,SCHOHARIE,0.17300000000000001,0.22699999999999998,0.499,0.032,0.754,142600,2.34,0.8859999999999999,0.055,0.8690000000000001,0.777,0.907,0.23600000000000002,30.7,58926,0.11,47.78553279083979
39,SUFFOLK,0.209,0.17300000000000001,0.508,0.153,0.8140000000000001,413900,2.93,0.9279999999999999,0.225,0.938,0.8909999999999999,0.904,0.373,32.4,105362,0.061,1673.0661696178938
40,SENECA,0.2,0.196,0.475,0.024,0.726,107500,2.26,0.8640000000000001,0.079,0.8959999999999999,0.8170000000000001,0.8490000000000001,0.213,21.7,54865,0.121,104.4576936146551
41,PUTNAM,0.19399999999999998,0.18,0.501,0.139,0.825,366400,2.76,0.929,0.198,0.951,0.927,0.93,0.409,40.0,107246,0.057,424.0719030871434
42,SULLIVAN,0.21,0.193,0.48700000000000004,0.095,0.695,175900,2.49,0.904,0.158,0.885,0.825,0.87,0.266,29.7,60433,0.127,81.21223389420842
43,MADISON,0.19,0.18899999999999997,0.506,0.027000000000000003,0.785,140000,2.53,0.9009999999999999,0.044000000000000004,0.885,0.83,0.9259999999999999,0.266,24.0,61176,0.10400000000000001,103.86659336631848
44,TIOGA,0.20600000000000002,0.209,0.503,0.019,0.779,119800,2.32,0.8959999999999999,0.027000000000000003,0.903,0.8590000000000001,0.9179999999999999,0.261,23.8,61965,0.09300000000000001,93.43424604704974
45,FULTON,0.201,0.201,0.503,0.018000000000000002,0.6970000000000001,120100,2.33,0.894,0.025,0.8759999999999999,0.797,0.884,0.182,24.5,51663,0.139,107.62306496861565
46,HAMILTON,0.13699999999999998,0.319,0.5,0.017,0.853,170500,3.05,0.9179999999999999,0.03,0.862,0.795,0.795,0.19899999999999998,23.5,60625,0.087,2.9737330918788616
47,OTSEGO,0.157,0.217,0.515,0.037000000000000005,0.722,150700,2.28,0.868,0.06,0.8909999999999999,0.813,0.9259999999999999,0.33399999999999996,23.0,56171,0.128,58.42467804731955
48,ORANGE,0.255,0.14300000000000002,0.499,0.115,0.6779999999999999,278400,2.85,0.91,0.249,0.898,0.843,0.899,0.308,34.4,80816,0.106,494.4128916211854
49,ORLEANS,0.193,0.184,0.501,0.028999999999999998,0.7509999999999999,101400,2.26,0.8959999999999999,0.061,0.868,0.821,0.877,0.163,25.6,52958,0.132,103.11046363032256
50,ERIE,0.20199999999999999,0.184,0.516,0.07200000000000001,0.648,160700,2.27,0.878,0.10800000000000001,0.897,0.8440000000000001,0.92,0.35100000000000003,21.3,59464,0.132,915.1674994485417
51,TOMPKINS,0.147,0.151,0.509,0.127,0.54,218700,2.18,0.726,0.154,0.9520000000000001,0.861,0.945,0.531,19.8,61361,0.124,222.77467607710946
52,LIVINGSTON,0.17600000000000002,0.183,0.498,0.033,0.763,134000,2.33,0.855,0.071,0.909,0.8490000000000001,0.9179999999999999,0.275,25.1,60248,0.10300000000000001,97.87577561099151
53,KINGS,0.22699999999999998,0.14400000000000002,0.526,0.35600000000000004,0.303,734800,2.61,0.907,0.445,0.894,0.83,0.8320000000000001,0.38799999999999996,43.0,63973,0.17800000000000002,38634.19937870658
54,DUTCHESS,0.187,0.18100000000000002,0.503,0.11699999999999999,0.682,290700,2.5,0.888,0.153,0.9309999999999999,0.8959999999999999,0.9109999999999999,0.364,32.8,81842,0.083,371.9203649937785
55,COLUMBIA,0.17,0.244,0.5,0.066,0.732,236500,2.27,0.91,0.073,0.907,0.8220000000000001,0.909,0.337,25.8,68750,0.102,97.00493138598729
56,LEWIS,0.228,0.19,0.493,0.013000000000000001,0.809,122800,2.51,0.93,0.03,0.871,0.8109999999999999,0.9129999999999999,0.183,24.4,56192,0.114,20.85386136128283
57,DELAWARE,0.163,0.252,0.494,0.044000000000000004,0.755,144000,2.24,0.902,0.062,0.87,0.794,0.895,0.221,26.1,49945,0.128,30.717395524250573
58,CLINTON,0.179,0.177,0.486,0.044000000000000004,0.679,139600,2.3,0.8420000000000001,0.059000000000000004,0.899,0.823,0.88,0.244,19.3,59510,0.111,76.93115575468518
59,NIAGARA,0.19899999999999998,0.195,0.512,0.039,0.7170000000000001,131600,2.29,0.91,0.048,0.8859999999999999,0.825,0.915,0.256,22.9,57252,0.11699999999999999,407.1253541618807
60,WYOMING,0.187,0.18600000000000003,0.45799999999999996,0.02,0.7659999999999999,118800,2.34,0.905,0.035,0.888,0.81,0.905,0.18,25.7,58746,0.096,68.37789962041333
61,CAYUGA,0.195,0.198,0.48700000000000004,0.019,0.7090000000000001,131700,2.35,0.878,0.037000000000000005,0.885,0.8170000000000001,0.882,0.22,23.3,57985,0.11699999999999999,110.25188698342924
